%
% Comments go after a '%' sign.
%
%
% Relation: selected_fe150
%
%
% Attributes: 151     Instances: 148
%
%

@relation selected_fe150

@attribute 'Time' numeric
@attribute 'avg t001' numeric
@attribute 'avg t003' numeric
@attribute 'avg t004' numeric
@attribute 'avg t005' numeric
@attribute 'time (s) Activity1' numeric
@attribute 'time (s) Activity2' numeric
@attribute 'time (s) Activity3' numeric
@attribute 'time (s) Activity8' numeric
@attribute 'time (s) Activity9' numeric
@attribute 'time (s) Activity12' numeric
@attribute 'time (s) Activity13' numeric
@attribute 'time (s) Activity14' numeric
@attribute 'time (s) Activity15' numeric
@attribute 'n m001' numeric
@attribute 'n m002' numeric
@attribute 'n m003' numeric
@attribute 'n m004' numeric
@attribute 'n m005' numeric
@attribute 'n m006' numeric
@attribute 'n m007' numeric
@attribute 'n m008' numeric
@attribute 'n m010' numeric
@attribute 'n m012' numeric
@attribute 'n m013' numeric
@attribute 'n m014' numeric
@attribute 'n m015' numeric
@attribute 'n m016' numeric
@attribute 'n m017' numeric
@attribute 'n m018' numeric
@attribute 'n m020' numeric
@attribute 'n m021' numeric
@attribute 'n m022' numeric
@attribute 'n m023' numeric
@attribute 'n m024' numeric
@attribute 'n m025' numeric
@attribute 'n m027' numeric
@attribute 'n m031' numeric
@attribute 'n m032' numeric
@attribute 'n m033' numeric
@attribute 'n m034' numeric
@attribute 'n m035' numeric
@attribute 'n m038' numeric
@attribute 'n m039' numeric
@attribute 'n m040' numeric
@attribute 'n m042' numeric
@attribute 'n m047' numeric
@attribute 'n m048' numeric
@attribute 'n m049' numeric
@attribute 'n m051' numeric
@attribute 'n d001' numeric
@attribute 'n d002' numeric
@attribute 'n d005' numeric
@attribute 'n d008' numeric
@attribute 'n d009' numeric
@attribute 'n d012' numeric
@attribute 'n d014' numeric
@attribute 'n d015' numeric
@attribute 'n Task1' numeric
@attribute 'n Task2' numeric
@attribute 'n Task5' numeric
@attribute 'n Task7' numeric
@attribute 'n Task8' numeric
@attribute 'n Task9' numeric
@attribute 'n Task11' numeric
@attribute 'n Action6' numeric
@attribute 'n Action7' numeric
@attribute 'n Action8' numeric
@attribute 'n Action9' numeric
@attribute 'n Action10' numeric
@attribute 'n Action11' numeric
@attribute 'n paz1' numeric
@attribute 'n paz2' numeric
@attribute 'n paz3' numeric
@attribute 'n paz7' numeric
@attribute 'n paz8' numeric
@attribute 'n paz9' numeric
@attribute 'n paz11' numeric
@attribute 'n paz21' numeric
@attribute 'n paz33' numeric
@attribute 'n paz34' numeric
@attribute 'n paz35' numeric
@attribute 'n paz39' numeric
@attribute 'n paz43' numeric
@attribute 'n paz45' numeric
@attribute 'n paz58' numeric
@attribute 'n paz62' numeric
@attribute 'n paz66' numeric
@attribute 'n paz70' numeric
@attribute 'n paz71' numeric
@attribute 'n paz74' numeric
@attribute 'n paz75' numeric
@attribute 'n paz78' numeric
@attribute 'n paz79' numeric
@attribute 'n paz82' numeric
@attribute 'n paz86' numeric
@attribute 'n paz88' numeric
@attribute 'n paz89' numeric
@attribute 'n paz91' numeric
@attribute 'n paz99' numeric
@attribute 'n paz100' numeric
@attribute 'n paz101' numeric
@attribute 'n paz102' numeric
@attribute 'n paz103' numeric
@attribute 'n paz105' numeric
@attribute 'n paz111' numeric
@attribute 'n paz112' numeric
@attribute 'n paz116' numeric
@attribute 'n paz117' numeric
@attribute 'n paz118' numeric
@attribute 'n paz122' numeric
@attribute 'n paz128' numeric
@attribute 'n paz130' numeric
@attribute 'n paz132' numeric
@attribute 'n paz135' numeric
@attribute 'n paz136' numeric
@attribute 'n paz140' numeric
@attribute 'n paz147' numeric
@attribute 'n paz150' numeric
@attribute 'n paz156' numeric
@attribute 'n paz159' numeric
@attribute 'n paz166' numeric
@attribute 'n paz170' numeric
@attribute 'n paz175' numeric
@attribute 'n paz178' numeric
@attribute 'n paz181' numeric
@attribute 'n paz188' numeric
@attribute 'n paz191' numeric
@attribute 'n paz203' numeric
@attribute 'n paz204' numeric
@attribute 'n paz205' numeric
@attribute 'n paz208' numeric
@attribute 'n paz210' numeric
@attribute 'n paz211' numeric
@attribute 'n paz216' numeric
@attribute 'n paz217' numeric
@attribute 'n paz218' numeric
@attribute 'n paz220' numeric
@attribute 'n paz221' numeric
@attribute 'n paz235' numeric
@attribute 'n paz249' numeric
@attribute 'n paz250' numeric
@attribute 'n paz251' numeric
@attribute 'n paz254' numeric
@attribute 'n paz255' numeric
@attribute 'n paz257' numeric
@attribute 'n paz259' numeric
@attribute 'n paz268' numeric
@attribute 'n paz274' numeric
@attribute 'act Consumption' numeric
@attribute 'avg Consumption' {'down','up'}

@data
660,21.75,23.818181818181817,21.5,24.035714285714285,238,218,286,98,138,359,220,467,154,113,56,4,0,12,82,174,257,20,8,582,164,142,167,229,68,0,46,58,98,38,84,32,0,0,0,0,0,0,0,0,36,0,0,0,22,2,0,0,0,12,3,0,0,21,28,24,9,1,6,2,1,39,4,20,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298.1595113438043,'up'
690,24.694444444444443,24.819444444444443,25.09722222222222,25.80555555555556,149,157,188,56,37,133,253,410,76,119,54,6,0,16,120,207,169,108,0,269,188,125,160,288,84,2,71,58,107,53,120,70,0,0,0,0,0,0,0,0,46,0,0,0,29,1,0,0,0,8,7,0,0,17,18,12,5,1,5,7,4,34,3,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798.300469483568,'down'
720,22.3,23.944444444444443,22.0,24.444444444444443,221,380,334,121,0,464,259,432,73,124,138,6,0,2,30,140,152,90,0,303,172,124,132,290,94,6,70,66,134,38,84,22,0,0,0,0,0,10,8,6,30,0,0,0,36,0,0,4,0,8,6,0,0,17,34,15,6,1,1,2,5,34,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2245.2334710743803,'down'
690,21.52083333333333,22.15,21.676470588235293,22.571428571428573,191,120,166,36,88,433,140,370,46,142,48,15,0,8,60,202,157,74,6,641,189,170,200,290,154,0,88,76,150,68,106,46,0,0,0,0,0,10,4,4,58,0,0,0,52,4,0,2,0,16,11,0,0,16,24,26,10,2,5,2,9,18,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2745.464980544747,'down'
930,25.7,26.0,26.75,27.866666666666667,144,187,147,56,107,522,266,221,129,98,88,36,8,46,42,122,140,0,14,426,150,106,136,218,110,0,52,58,90,48,110,28,0,0,0,0,0,12,8,4,32,0,0,0,30,0,0,3,0,6,5,0,0,23,18,64,12,1,1,0,11,69,3,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.7829126213592,'down'
990,24.43055555555556,24.73611111111111,25.819444444444443,25.319444444444443,267,189,255,60,77,193,221,344,85,120,49,12,2,32,117,184,151,64,4,331,299,167,195,335,109,0,71,49,100,70,124,54,0,0,0,0,0,6,4,4,60,0,0,0,38,1,0,1,0,6,4,0,0,21,15,31,17,8,1,2,4,15,17,10,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1779.7627737226278,'up'
690,23.22222222222222,21.5,20.25,24.115384615384617,422,262,506,189,119,206,213,374,246,124,136,12,4,8,64,208,202,100,0,441,196,100,134,306,110,0,60,76,108,56,104,38,0,0,0,0,0,26,20,20,42,0,0,0,44,4,0,8,0,10,3,0,0,18,33,56,21,20,2,1,17,35,22,4,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598.966379310345,'up'
690,25.223684210526315,22.0,22.93421052631579,23.308823529411764,226,166,157,66,156,152,234,358,154,141,83,16,2,13,84,288,265,29,2,264,257,148,183,336,140,20,121,104,152,92,189,64,244,83,161,38,104,189,60,43,74,18,246,88,83,0,0,0,0,18,10,0,0,18,56,31,11,6,10,0,11,28,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4417.386914062499,'up'
990,24.7948717948718,22.115384615384617,21.46153846153846,23.942307692307693,902,183,157,36,89,417,277,645,187,130,96,14,2,44,70,140,154,46,8,382,234,176,191,368,117,0,86,52,88,99,217,46,0,0,0,0,0,6,4,9,48,0,0,0,30,0,0,0,0,14,6,2,6,22,37,61,17,3,19,3,14,35,16,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2733.2829268292685,'down'
915,25.25,23.75,28.5,27.70833333333333,260,248,123,76,59,101,135,333,47,76,42,4,4,6,89,114,100,18,10,450,110,88,104,201,82,0,60,48,66,36,72,24,0,0,0,0,0,6,6,4,28,0,0,0,30,0,0,2,0,14,4,2,2,17,28,34,19,1,5,1,8,17,9,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572.2886524822695,'down'
690,23.545454545454547,23.75,22.27777777777778,23.58333333333333,76,256,231,54,173,186,91,410,137,78,46,0,0,0,58,116,104,8,10,352,142,112,118,256,90,0,61,39,86,46,88,38,0,0,0,0,0,4,4,2,44,0,0,0,26,6,0,0,0,14,2,0,0,26,38,12,1,1,4,3,6,16,7,24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557.7352839931154,'down'
930,20.75,23.0,21.0,24.944444444444443,230,165,304,201,77,349,148,328,89,126,82,20,2,8,60,204,128,102,4,432,108,118,174,275,78,0,32,52,124,28,94,16,0,0,0,0,0,6,4,4,22,0,0,0,26,0,0,2,0,0,9,2,2,18,47,11,2,15,3,0,3,21,17,30,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613.742741935484,'up'
930,21.0,22.0,21.0,25.23076923076923,265,180,209,48,49,184,161,413,76,116,46,14,2,6,140,170,142,208,0,561,192,154,181,355,142,0,52,60,110,34,100,22,0,0,0,0,0,0,0,0,28,0,0,0,112,0,0,0,0,18,8,0,0,19,27,30,21,1,2,1,4,16,3,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2342.544897959184,'down'
930,26.25,27.25,26.25,24.5,255,177,167,59,43,174,131,430,60,126,40,14,4,8,34,124,144,32,10,372,104,130,158,312,116,0,80,64,124,62,90,44,0,0,0,0,0,12,8,6,52,0,0,0,36,4,0,4,0,20,8,0,0,18,22,38,27,1,3,3,3,17,9,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911.0687679083092,'down'
930,29.142857142857142,28.75,29.5,28.25,87,199,200,142,66,132,102,525,87,102,32,10,0,2,20,94,110,6,6,409,110,110,140,284,90,0,80,68,96,66,94,42,0,0,0,0,0,8,6,6,40,0,0,0,16,6,0,1,0,12,2,0,0,15,29,17,9,6,2,1,13,13,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274.6695842450767,'down'
990,23.3,24.5,24.25,23.115384615384617,305,262,147,90,38,320,123,406,79,84,48,16,6,12,32,100,110,54,10,508,130,104,144,268,106,0,66,56,84,50,70,43,0,0,0,0,0,18,12,12,50,0,0,0,40,2,0,2,0,14,6,0,0,19,27,40,32,9,5,2,3,25,7,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783.0166270783848,'down'
990,28.166666666666668,29.035714285714285,29.3,22.903846153846157,386,250,174,42,88,190,209,481,145,92,90,16,2,34,126,180,146,22,8,393,190,145,191,416,100,0,60,44,94,48,128,24,0,0,0,0,0,0,0,0,28,0,0,0,30,2,0,0,0,16,14,0,0,25,19,14,18,2,7,4,12,28,12,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2242.3050847457625,'down'
705,26.705882352941178,26.64516129032258,26.425925925925927,23.176470588235293,274,184,334,122,78,229,306,460,116,98,58,6,0,2,98,164,120,6,4,501,196,140,192,313,116,0,50,52,92,50,110,28,0,0,0,0,0,22,8,14,30,0,0,0,46,0,0,6,0,12,11,0,0,21,16,7,9,5,7,5,9,25,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957.675816993464,'down'
