%
% Comments go after a '%' sign.
%
%
% Relation: selected_cs100
%
%
% Attributes: 100     Instances: 224
%
%

@relation selected_cs100

@attribute 'n paz195' numeric
@attribute 'n paz22' numeric
@attribute 'n m014' numeric
@attribute 'n paz264' numeric
@attribute 'n paz237' numeric
@attribute 'n paz219' numeric
@attribute 'n Action5' numeric
@attribute 'n paz52' numeric
@attribute 'n paz246' numeric
@attribute 'n paz114' numeric
@attribute 'n paz80' numeric
@attribute 'n paz50' numeric
@attribute 'n paz198' numeric
@attribute 'n Action6' numeric
@attribute 'n paz5' numeric
@attribute 'n paz137' numeric
@attribute 'n paz59' numeric
@attribute 'n m029' numeric
@attribute 'n paz199' numeric
@attribute 'n Task1' numeric
@attribute 'n paz81' numeric
@attribute 'n m027' numeric
@attribute 'n paz242' numeric
@attribute 'n paz135' numeric
@attribute 'n paz241' numeric
@attribute 'n Task3' numeric
@attribute 'n m005' numeric
@attribute 'n paz223' numeric
@attribute 'n paz97' numeric
@attribute 'n paz48' numeric
@attribute 'n Task4' numeric
@attribute 'n m002' numeric
@attribute 'n paz112' numeric
@attribute 'n m003' numeric
@attribute 'n paz73' numeric
@attribute 'n d008' numeric
@attribute 'n Task10' numeric
@attribute 'time (s) Activity12' numeric
@attribute 'n d002' numeric
@attribute 'n m020' numeric
@attribute 'n m036' numeric
@attribute 'n Task2' numeric
@attribute 'n paz173' numeric
@attribute 'n m030' numeric
@attribute 'n paz196' numeric
@attribute 'n m016' numeric
@attribute 'n m041' numeric
@attribute 'n paz136' numeric
@attribute 'n m001' numeric
@attribute 'n m031' numeric
@attribute 'time (s) Activity3' numeric
@attribute 'n paz268' numeric
@attribute 'n paz7' numeric
@attribute 'n m023' numeric
@attribute 'n paz68' numeric
@attribute 'n m015' numeric
@attribute 'n paz62' numeric
@attribute 'n paz29' numeric
@attribute 'n m051' numeric
@attribute 'n m040' numeric
@attribute 'n paz132' numeric
@attribute 'n d007' numeric
@attribute 'n m010' numeric
@attribute 'n paz109' numeric
@attribute 'avg t001' numeric
@attribute 'n Action11' numeric
@attribute 'n Action9' numeric
@attribute 'n paz115' numeric
@attribute 'n Task12' numeric
@attribute 'n m032' numeric
@attribute 'n Task11' numeric
@attribute 'n m052' numeric
@attribute 'n paz221' numeric
@attribute 'time (s) Activity13' numeric
@attribute 'avg t003' numeric
@attribute 'n paz204' numeric
@attribute 'n m044' numeric
@attribute 'n Action12' numeric
@attribute 'n m034' numeric
@attribute 'n d001' numeric
@attribute 'n Task13' numeric
@attribute 'n m037' numeric
@attribute 'avg t002' numeric
@attribute 'n m039' numeric
@attribute 'n m050' numeric
@attribute 'avg t005' numeric
@attribute 'n m038' numeric
@attribute 'n paz233' numeric
@attribute 'n m046' numeric
@attribute 'n paz14' numeric
@attribute 'avg t004' numeric
@attribute 'n m035' numeric
@attribute 'n paz39' numeric
@attribute 'n d009' numeric
@attribute 'n m047' numeric
@attribute 'n m033' numeric
@attribute 'n m048' numeric
@attribute 'n m049' numeric
@attribute 'act Consumption' numeric
@attribute 'avg Consumption' numeric

@data
0,0,115,0,0,0,73,0,0,0,0,0,0,4,0,0,0,12,0,16,0,32,0,0,0,30,2,0,0,0,18,54,0,6,0,0,1,153,0,6,0,25,0,0,0,136,0,0,90,0,173,0,0,86,0,130,0,0,48,0,0,44,66,0,21.928571428571427,1,6,0,0,0,1,452,0,239,22.5,0,0,6,32,1,0,0,26.83333333333333,0,0,24.875,0,0,0,0,23.0,4,0,0,0,0,0,0,1558.4052631578948,1374.0454545454545
0,0,128,0,0,0,93,0,0,0,0,0,0,9,0,0,0,16,0,18,0,28,0,0,0,18,2,0,0,0,30,70,0,8,0,0,1,250,0,12,0,31,0,0,0,222,0,0,98,0,213,0,0,84,0,144,0,0,44,0,0,38,70,0,21.928571428571427,1,3,0,0,0,1,616,0,184,22.5,0,0,5,0,0,0,4,26.83333333333333,0,0,24.875,4,0,0,0,23.0,0,0,0,0,0,0,0,2181.309523809524,1954.157894736842
0,0,316,0,0,0,143,0,0,0,0,0,0,10,0,0,0,30,0,23,0,45,0,0,0,36,8,0,0,0,42,104,0,12,0,0,1,172,0,4,0,31,0,0,0,204,0,0,128,0,256,0,0,128,0,164,0,0,40,0,0,50,36,0,22.59090909090909,1,10,0,3,0,2,0,0,149,22.38,0,8,7,0,0,0,6,26.539473684210527,0,4,24.723684210526315,8,0,0,0,23.42682926829268,0,0,20,0,0,0,0,1665.0968325791855,826.3333333333334
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,16,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,2,0,0,22.38235294117647,0,0,0,0,4,0,0,0,0,20.666666666666668,0,12,0,0,10,0,6,24.73684210526316,8,18,22.5,23,0,186,1,22.75,4,0,0,94,2,24,14,1857.5,5656.428571428572
0,0,228,0,0,0,229,0,0,0,0,0,0,22,0,0,0,16,0,23,0,22,0,0,0,70,10,0,0,0,58,106,0,21,0,0,1,255,0,2,0,36,0,0,0,168,14,0,117,0,323,0,0,118,0,153,0,0,49,9,0,15,35,0,26.0,1,29,0,2,0,3,0,0,247,26.65,0,0,8,0,0,1,11,29.683333333333334,8,0,24.566666666666663,12,0,22,0,27.8,0,0,7,0,0,0,0,2088.431428571428,1540.1875
0,0,128,0,0,0,165,0,0,0,0,0,0,4,0,0,0,18,0,19,0,34,0,0,0,45,8,0,0,0,46,198,0,12,0,0,2,179,0,2,0,22,0,0,0,162,10,0,98,0,285,0,0,108,0,124,0,0,36,12,0,37,52,0,21.70833333333333,1,18,0,1,0,1,578,0,248,20.5,0,0,5,0,0,0,12,24.75,12,0,24.0,26,0,0,0,21.5,0,0,0,0,0,0,0,2136.1279329608938,1813.636363636364
0,0,178,0,0,0,99,0,0,0,0,0,0,56,0,0,0,22,0,21,0,34,0,0,0,68,0,0,0,0,53,174,0,4,0,0,1,574,1,0,0,17,0,0,0,190,18,0,115,0,170,0,0,93,0,152,0,0,24,4,0,36,14,0,26.83333333333333,1,0,0,0,0,0,0,0,218,21.90909090909091,0,0,5,0,4,0,6,30.384615384615383,6,0,24.48148148148148,8,0,0,0,27.125,0,0,16,0,0,0,0,1777.3423312883438,742.5
0,0,162,0,0,0,129,0,0,0,0,0,0,1,0,0,0,8,0,21,0,30,0,0,0,34,12,0,0,0,63,56,0,4,0,0,2,359,0,0,0,28,0,0,0,167,0,0,111,0,286,0,0,96,0,142,0,0,22,0,0,32,20,0,21.75,1,20,0,0,0,2,358,0,220,23.818181818181817,0,0,9,0,2,0,0,27.818181818181817,0,0,24.035714285714285,0,0,0,0,21.5,0,0,12,0,0,0,0,1311.4338289962825,1242.490909090909
0,1,146,0,0,0,92,0,0,0,0,0,0,6,0,0,0,14,0,22,0,40,0,0,0,21,2,0,0,0,35,90,0,14,0,0,1,131,0,41,0,25,0,0,0,204,0,0,126,0,170,0,0,171,0,174,0,0,42,0,0,37,32,0,26.5,1,21,0,0,0,3,274,0,137,25.5,0,2,4,0,4,0,0,29.2,0,2,25.09090909090909,0,0,18,0,27.642857142857142,0,0,0,44,0,43,8,1875.536231884058,427.0
0,0,184,0,0,0,117,0,0,0,0,0,0,4,0,0,0,20,0,17,0,50,0,0,0,25,16,0,0,0,81,43,0,6,0,0,1,133,0,2,0,18,0,0,0,148,0,0,99,0,188,0,0,92,0,113,0,0,27,0,0,18,108,0,24.694444444444443,1,14,0,1,0,7,0,0,253,24.819444444444443,0,0,8,0,1,1,0,27.93055555555556,0,0,25.80555555555556,0,0,0,0,25.09722222222222,0,0,8,0,0,0,0,1821.135,1525.5
0,0,170,0,0,0,83,0,0,0,0,0,0,5,0,0,0,16,0,17,0,20,0,0,0,18,2,0,0,0,38,138,0,6,0,0,1,464,0,6,0,34,0,0,0,132,10,0,122,0,334,0,0,134,0,124,0,0,36,6,0,26,80,0,22.3,1,0,0,0,0,2,520,0,259,23.944444444444443,0,0,5,0,0,0,8,25.294117647058822,8,0,24.444444444444443,10,0,0,0,22.0,0,0,8,0,0,0,0,2283.556277056277,1495.3767441860464
0,0,136,0,0,0,108,0,0,0,0,0,0,7,0,0,0,20,0,18,0,26,0,0,0,23,10,0,0,0,35,61,0,18,0,0,2,136,0,0,0,20,0,0,0,174,0,0,98,0,179,0,0,88,0,130,0,0,36,0,0,32,40,0,26.0,1,10,0,2,0,2,343,0,249,27.75,0,0,5,0,1,1,0,30.07692307692308,0,0,25.375,0,0,0,0,28.642857142857142,0,0,14,0,0,0,0,1963.4409448818897,1101.8333333333333
0,0,185,0,0,0,141,0,0,0,0,0,0,9,0,0,0,22,0,16,0,42,0,0,0,41,8,0,0,0,49,44,0,15,0,0,2,433,0,0,0,24,0,0,0,194,18,0,134,0,166,0,0,142,0,164,0,1,48,4,0,45,74,0,21.52083333333333,0,8,0,0,0,2,362,0,140,22.15,0,0,8,0,2,0,8,24.029411764705884,4,0,22.571428571428573,10,0,0,0,21.676470588235293,0,0,16,0,0,0,0,2518.4037656903765,3979.6393442622953
0,0,132,0,0,0,120,0,0,0,0,0,0,9,0,0,0,10,0,22,0,34,0,0,0,24,0,0,0,0,42,36,0,6,0,0,0,251,0,2,0,21,0,0,0,122,0,0,86,0,256,0,0,96,0,108,0,0,32,0,0,26,16,0,21.52083333333333,1,18,0,3,0,3,0,0,135,22.15,0,0,4,0,2,0,0,24.029411764705884,0,0,22.571428571428573,0,0,0,0,21.676470588235293,0,0,0,0,0,0,0,1445.0391489361705,1403.5882352941176
0,0,134,0,0,0,133,0,0,0,0,0,0,8,0,0,0,13,0,17,0,26,0,0,0,25,6,0,0,0,57,38,0,8,0,0,1,216,0,0,0,29,0,0,0,156,14,0,104,0,277,0,0,98,0,120,0,0,66,10,0,38,50,0,23.425,1,0,0,1,0,1,282,0,279,21.5,0,0,10,0,0,0,7,28.95,8,0,23.642857142857142,14,0,0,0,19.5,0,0,14,0,0,0,0,3615.9432624113474,2198.3846153846152
0,0,96,0,0,0,109,0,0,0,0,0,0,12,0,0,0,16,0,17,0,30,0,0,0,39,6,0,0,0,32,38,0,2,0,0,1,265,0,12,0,36,0,0,0,113,0,0,68,0,278,0,0,72,0,101,0,0,24,0,0,32,4,0,20.7,1,11,0,2,0,2,580,0,282,21.5,0,0,5,0,0,1,0,21.83333333333333,0,0,24.25,0,0,0,0,20.75,0,0,6,0,0,0,0,894.0730017761989,624.030303030303
0,0,122,0,0,0,116,0,0,0,0,0,0,11,0,0,0,10,0,23,0,24,0,0,0,29,42,0,0,0,59,78,0,32,0,0,1,522,0,0,0,18,0,0,0,118,6,0,76,0,147,0,0,72,0,94,0,0,30,4,0,34,0,0,25.7,1,5,0,0,0,0,312,0,266,26.0,0,0,5,0,0,0,6,29.729166666666668,8,0,27.866666666666667,12,0,0,0,26.75,0,0,4,0,0,0,0,1223.253923541247,1028.9669902912622
0,0,259,0,0,0,167,0,0,0,0,0,0,4,0,0,0,36,0,21,0,50,0,0,0,35,32,0,0,0,85,44,0,12,0,0,1,193,0,0,0,15,0,0,0,168,6,0,114,0,255,0,0,96,0,143,0,0,38,4,0,15,61,0,24.43055555555556,1,10,0,2,0,2,0,0,221,24.73611111111111,0,0,9,0,1,0,6,28.63888888888889,4,0,25.319444444444443,6,0,0,0,25.819444444444443,0,0,6,0,0,0,0,1684.1297709923665,2726.4242424242425
0,0,170,0,0,0,210,0,0,0,0,0,0,17,0,0,0,28,0,17,0,34,0,0,0,43,8,0,0,0,60,126,0,10,0,0,2,206,0,0,0,31,0,0,0,116,26,0,96,0,506,0,0,86,0,88,0,0,42,20,0,30,98,0,23.22222222222222,1,4,0,1,0,1,752,0,213,21.5,0,0,9,0,4,0,18,26.675,20,0,24.115384615384617,26,0,0,0,20.25,0,0,8,0,0,0,0,2602.064253393665,2705.020618556701
0,0,112,0,0,0,93,0,0,0,0,0,0,5,0,0,0,28,0,20,0,40,0,0,0,17,6,0,0,0,17,44,0,14,0,4,2,235,0,0,0,24,0,0,0,176,22,0,90,0,175,0,0,82,0,110,0,0,30,8,0,36,45,0,22.5,1,15,0,2,0,3,364,0,168,23.25,0,14,10,0,4,1,14,27.026315789473685,8,14,22.625,16,0,28,0,24.0,0,0,28,24,0,50,34,1704.5485714285714,470.0
0,0,198,0,0,0,131,0,0,0,0,0,0,11,0,0,0,28,0,17,0,32,0,0,0,30,2,0,0,0,42,42,0,12,0,0,1,209,0,0,0,36,0,0,0,149,0,0,112,0,183,0,0,114,0,133,0,0,52,0,0,40,176,0,20.473684210526315,1,13,0,0,0,0,619,0,184,22.666666666666668,0,0,6,0,2,0,10,24.33333333333333,0,0,23.08333333333333,2,0,0,0,20.25,0,0,0,0,0,0,0,2842.1327354260093,1873.6
0,0,235,0,0,0,169,0,0,0,0,0,0,11,0,0,0,53,0,18,0,56,0,0,0,32,13,0,0,0,65,81,0,16,0,0,2,152,0,18,28,56,0,14,0,181,36,0,127,239,157,0,0,140,0,144,0,0,75,41,0,36,22,0,25.223684210526315,0,0,0,0,75,0,0,0,234,22.0,0,23,7,36,0,0,57,27.25,54,31,23.308823529411764,126,0,9,0,22.93421052631579,98,1,18,18,157,246,88,4261.061680327869,5984.428037383178
0,0,207,0,0,0,251,0,0,0,0,0,0,14,0,0,0,8,0,22,0,46,0,0,0,62,42,0,0,0,87,82,0,6,0,0,1,417,0,0,0,37,0,0,0,160,11,0,112,0,157,0,0,70,0,144,0,0,30,9,0,36,38,0,24.7948717948718,1,10,0,2,0,3,0,0,277,22.115384615384617,0,0,8,0,0,0,6,27.56410256410257,4,0,23.942307692307693,6,0,0,0,21.46153846153846,0,0,12,0,0,0,0,2795.187817258883,2227.726315789474
0,0,102,0,0,0,123,0,0,0,0,0,0,8,0,0,0,8,0,17,0,20,0,0,0,28,6,0,0,0,28,42,0,4,0,0,2,101,0,0,0,28,0,0,0,96,0,0,72,0,123,0,0,64,0,86,0,0,30,0,0,28,18,0,25.25,1,16,0,2,0,1,172,0,135,23.75,0,0,9,0,0,1,0,28.31578947368421,0,0,27.70833333333333,0,0,0,0,28.5,0,0,12,0,0,0,0,1590.8386363636364,1236.62
0,0,142,0,0,0,95,0,0,0,0,0,0,6,0,0,0,16,0,26,0,38,0,0,0,33,0,0,0,0,33,46,0,0,0,0,1,186,0,0,0,38,0,0,0,118,2,0,78,0,231,0,0,86,0,112,0,0,26,2,0,34,8,0,23.545454545454547,1,24,0,1,0,3,312,0,91,23.75,0,0,4,0,6,1,4,26.5,4,0,23.58333333333333,4,0,0,0,22.27777777777778,0,0,14,0,0,0,0,1596.0932142857143,1081.9610389610389
0,0,152,0,0,0,108,0,0,0,0,0,0,13,0,0,0,28,0,17,0,44,0,0,0,40,14,0,0,0,28,48,0,22,0,0,2,245,0,2,0,33,0,0,0,152,8,0,112,0,326,0,0,124,0,120,0,0,38,4,0,46,76,0,20.869565217391305,0,4,0,0,0,0,598,0,177,20.97058823529412,0,0,6,0,4,0,4,23.789473684210527,6,0,21.23076923076923,8,0,0,0,17.5,0,0,0,0,0,0,0,2852.8024390243904,2510.0
0,0,104,0,0,0,123,0,0,0,0,0,0,3,0,0,0,8,0,18,0,14,0,0,0,34,8,0,0,0,36,82,0,20,0,0,2,349,0,0,0,47,0,0,0,158,0,0,124,0,304,0,0,122,0,116,0,0,26,0,0,36,96,0,20.75,1,30,0,0,0,0,298,0,148,23.0,0,0,6,0,0,0,0,25.25,0,0,24.944444444444443,0,0,0,0,21.0,0,0,0,0,0,0,0,1649.5669811320756,1703.5359374999998
0,0,167,0,0,0,116,0,0,0,0,0,0,13,0,0,0,16,0,17,0,30,0,0,0,24,4,0,0,0,36,34,0,10,0,0,2,111,0,0,0,35,0,0,0,126,0,0,100,0,179,0,0,96,0,114,0,0,30,0,0,22,16,0,23.0,1,13,0,1,0,2,269,0,175,23.0,0,0,8,0,2,1,0,24.7,0,0,24.03846153846154,0,0,0,0,24.25,0,0,14,0,0,0,0,1110.6550408719347,2276.3888888888887
0,0,154,0,0,0,80,0,0,0,0,0,0,6,0,0,0,28,0,17,0,46,0,0,0,41,0,0,0,1,19,40,0,10,0,0,2,282,0,0,0,20,0,0,0,182,6,0,112,0,118,0,0,110,0,148,0,0,24,4,0,22,64,0,21.166666666666668,1,13,0,0,0,0,520,0,95,22.75,0,0,8,0,4,0,8,25.321428571428573,4,0,23.666666666666668,8,0,0,0,24.25,0,0,16,0,0,0,0,1483.4816625916872,265.0
0,0,180,0,0,0,134,0,0,0,0,0,0,4,0,0,0,12,0,19,0,20,0,0,0,20,6,0,0,0,31,46,0,14,0,0,1,184,0,0,0,27,0,0,0,166,0,0,110,0,209,0,0,104,0,140,0,0,112,0,0,35,208,0,21.0,1,23,0,0,0,1,826,0,161,22.0,0,0,10,0,0,0,0,27.0,0,0,25.23076923076923,0,0,0,0,21.0,0,0,18,0,0,0,0,2337.654811715481,1554.1052631578948
0,0,104,0,0,0,131,0,0,0,0,1,0,3,0,0,0,28,0,18,0,44,0,0,0,26,8,0,0,0,28,40,0,14,0,0,2,174,0,0,0,22,0,0,0,158,15,0,126,0,167,0,0,124,0,130,0,0,36,6,0,38,32,0,26.25,1,11,0,3,0,3,624,0,131,27.25,0,0,13,0,4,1,10,31.0,8,0,24.5,12,0,0,0,26.25,0,0,20,0,0,0,0,1973.110119047619,382.5151515151515
0,0,168,0,0,0,118,0,0,0,0,0,0,9,0,0,0,14,0,17,0,18,0,0,0,35,4,0,0,0,31,56,0,30,0,0,2,293,0,0,0,34,0,0,0,157,19,0,95,0,307,0,0,97,0,125,0,0,29,6,0,28,74,0,20.35,1,9,0,0,0,0,422,0,212,22.0,0,0,5,0,0,0,8,24.5,6,0,23.5,12,0,0,0,20.25,0,0,0,0,0,0,0,2606.6573333333336,1084.857142857143
0,0,110,0,0,0,88,1,0,0,0,0,0,13,0,0,0,10,0,15,0,34,0,0,0,23,2,0,0,0,21,32,0,10,0,0,2,132,0,0,0,29,0,0,0,136,2,0,94,0,200,0,0,86,0,106,0,0,16,2,0,38,6,0,29.142857142857142,0,0,0,1,0,1,313,0,102,28.75,0,0,4,0,4,0,4,32.75,2,0,28.25,2,0,0,0,29.5,0,0,12,0,0,0,0,2356.7281105990783,406.9878048780488
0,0,124,0,0,0,142,0,0,0,0,0,0,3,0,0,0,24,0,19,0,40,0,0,0,23,12,0,0,0,24,48,0,16,0,0,1,320,0,0,0,27,0,0,0,132,24,0,82,0,147,0,0,82,0,100,0,0,40,12,0,34,54,0,23.3,1,12,0,0,0,2,365,0,123,24.5,0,0,13,0,2,1,14,28.157894736842103,12,0,23.115384615384617,18,0,0,0,24.25,0,0,12,0,0,0,0,1794.5979643765904,1670.571428571429
0,0,155,0,0,0,168,0,0,0,0,0,0,8,0,0,0,16,0,23,0,32,0,0,0,28,12,0,0,0,61,56,0,18,0,0,1,216,0,0,0,25,0,0,0,189,0,0,114,0,178,0,0,102,0,144,0,0,58,0,0,46,8,0,24.318181818181817,1,2,0,1,0,2,0,0,209,22.30555555555556,0,0,10,0,0,1,0,27.854166666666668,0,0,21.58620689655172,0,0,0,0,22.476190476190474,0,0,16,0,0,0,0,1682.0760869565215,1136.04
0,0,170,0,0,0,165,0,0,0,0,0,0,12,0,0,0,12,0,25,0,24,0,0,0,38,34,0,0,0,81,88,0,16,0,0,1,190,0,0,0,19,0,0,0,160,0,0,88,0,174,0,0,90,0,128,0,0,30,0,0,32,22,0,28.166666666666668,1,23,0,3,0,4,0,0,209,29.035714285714285,0,0,8,0,2,1,0,32.66101694915254,0,0,22.903846153846157,0,0,0,0,29.3,0,0,14,0,0,0,0,2293.1441441441443,941.1363636363636
